Year,Region,Party,Alignment,Votes %,Votes N
2002,Groningen,PvdD,Left-Wing,NA,NA
2002,Groningen,50PLUS,Centre,NA,NA
2003,Groningen,VVD,Centre-Right,13.03,47194
2003,Groningen,PvdA,Centre-Left,39.58,143333
2003,Groningen,PVV,Right-Wing,NA,NA
2003,Groningen,SP,Left-Wing,7.26,26299
2003,Groningen,CDA,Centre,20.59,74555
2003,Groningen,D66,Centre,3.89,14100
2003,Groningen,CU,Centre,4.73,17126
2003,Groningen,GL,Left-Wing,6.02,21804
2003,Groningen,SGP,Right-Wing,0.31,1106
2003,Groningen,PvdD,Left-Wing,0.45,1620
2003,Groningen,50PLUS,Centre,NA,NA
2006,Groningen,VVD,Centre-Right,10.87,39476
2006,Groningen,PvdA,Centre-Left,31.03,112694
2006,Groningen,PVV,Right-Wing,3.17,11527
2006,Groningen,SP,Left-Wing,19.19,69678
2006,Groningen,CDA,Centre,18.28,66396
2006,Groningen,D66,Centre,1.86,6746
2006,Groningen,CU,Centre,7.01,25459
2006,Groningen,GL,Left-Wing,5.89,21372
2006,Groningen,SGP,Right-Wing,0.33,1201
2006,Groningen,PvdD,Left-Wing,1.63,5930
2006,Groningen,50PLUS,Centre,NA,NA
2010,Groningen,VVD,Centre-Right,14.45,49041
2010,Groningen,PvdA,Centre-Left,27.6,93631
2010,Groningen,PVV,Right-Wing,11.36,38559
2010,Groningen,SP,Left-Wing,11.66,39569
2010,Groningen,CDA,Centre,11.11,37688
2010,Groningen,D66,Centre,6.47,21952
2010,Groningen,CU,Centre,6.11,20743
2010,Groningen,GL,Left-Wing,8.34,28297
2010,Groningen,SGP,Right-Wing,0.5,1706
2010,Groningen,PvdD,Left-Wing,1.46,4960
2010,Groningen,50PLUS,Centre,NA,NA
2012,Groningen,VVD,Centre-Right,17.15,58715
2012,Groningen,PvdA,Centre-Left,35.32,120926
2012,Groningen,PVV,Right-Wing,7.11,24362
2012,Groningen,SP,Left-Wing,11.69,40015
2012,Groningen,CDA,Centre,7.7,26354
2012,Groningen,D66,Centre,7.57,25932
2012,Groningen,CU,Centre,5.8,19860
2012,Groningen,GL,Left-Wing,2.8,9577
2012,Groningen,SGP,Right-Wing,0.75,2568
2012,Groningen,PvdD,Left-Wing,1.99,6804
2012,Groningen,50PLUS,Centre,1.15,3938
1994,Friesland,VVD,Centre-Right,14.23,53699
1994,Friesland,PvdA,Centre-Left,31.57,119135
1994,Friesland,PVV,Right-Wing,NA,NA
1994,Friesland,SP,Left-Wing,0.57,2139
1994,Friesland,CDA,Centre,27.46,103625
1994,Friesland,D66,Centre,12.46,47028
1994,Friesland,CU,Centre,NA,NA
1994,Friesland,GL,Left-Wing,3.04,11478
1994,Friesland,SGP,Right-Wing,0.58,2187
1994,Friesland,PvdD,Left-Wing,NA,NA
1994,Friesland,50PLUS,Centre,NA,NA
1998,Friesland,VVD,Centre-Right,16.36,59515
1998,Friesland,PvdA,Centre-Left,33.62,122277
1998,Friesland,PVV,Right-Wing,NA,NA
1998,Friesland,SP,Left-Wing,3.23,11753
1998,Friesland,CDA,Centre,26.44,96174
1998,Friesland,D66,Centre,7.05,25631
1998,Friesland,CU,Centre,NA,NA
1998,Friesland,GL,Left-Wing,6.79,24683
1998,Friesland,SGP,Right-Wing,0.52,1876
1998,Friesland,PvdD,Left-Wing,NA,NA
1998,Friesland,50PLUS,Centre,NA,NA
2002,Friesland,VVD,Centre-Right,12.34,48519
2002,Friesland,PvdA,Centre-Left,19.66,77335
2002,Friesland,PVV,Right-Wing,NA,NA
2002,Friesland,SP,Left-Wing,5.58,21926
2002,Friesland,CDA,Centre,33.15,130364
2002,Friesland,D66,Centre,4.2,16507
2002,Friesland,CU,Centre,3.68,14473
2002,Friesland,GL,Left-Wing,6.61,26010
2002,Friesland,SGP,Right-Wing,0.57,2235
2002,Friesland,PvdD,Left-Wing,NA,NA
2002,Friesland,50PLUS,Centre,NA,NA
2003,Friesland,VVD,Centre-Right,12.62,50889
2003,Friesland,PvdA,Centre-Left,33.46,134887
2003,Friesland,PVV,Right-Wing,NA,NA
2003,Friesland,SP,Left-Wing,6.04,24356
2003,Friesland,CDA,Centre,32.04,129190
2003,Friesland,D66,Centre,2.77,11184
2003,Friesland,CU,Centre,3.21,12946
2003,Friesland,GL,Left-Wing,4.45,17951
