Year,Region,Party,Alignment,Votes %,Votes N
1994,Utrecht,D66,Centre,16.93,107188
1994,Utrecht,CU,Centre,NA,NA
1994,Utrecht,GL,Left-Wing,4.69,29716
1994,Utrecht,SGP,Right-Wing,2.3,14558
1994,Utrecht,PvdD,Left-Wing,NA,NA
1994,Utrecht,50PLUS,Centre,NA,NA
1998,Utrecht,VVD,Centre-Right,27.72,171996
1998,Utrecht,PvdA,Centre-Left,23.57,146240
1998,Utrecht,PVV,Right-Wing,NA,NA
1998,Utrecht,SP,Left-Wing,2.55,15824
1998,Utrecht,CDA,Centre,15.96,99056
1998,Utrecht,D66,Centre,11.39,70669
1998,Utrecht,CU,Centre,NA,NA
1998,Utrecht,GL,Left-Wing,8.6,53365
1998,Utrecht,SGP,Right-Wing,2.39,14860
1998,Utrecht,PvdD,Left-Wing,NA,NA
1998,Utrecht,50PLUS,Centre,NA,NA
2002,Utrecht,VVD,Centre-Right,17.42,121233
2002,Utrecht,PvdA,Centre-Left,13.15,91502
2002,Utrecht,PVV,Right-Wing,NA,NA
2002,Utrecht,SP,Left-Wing,5.96,41450
2002,Utrecht,CDA,Centre,25.88,180113
2002,Utrecht,D66,Centre,5.93,41278
2002,Utrecht,CU,Centre,3.68,25587
2002,Utrecht,GL,Left-Wing,8.44,58769
2002,Utrecht,SGP,Right-Wing,2.28,15887
2002,Utrecht,PvdD,Left-Wing,NA,NA
2002,Utrecht,50PLUS,Centre,NA,NA
2003,Utrecht,VVD,Centre-Right,20.36,143796
2003,Utrecht,PvdA,Centre-Left,23.51,166116
2003,Utrecht,PVV,Right-Wing,NA,NA
2003,Utrecht,SP,Left-Wing,5.9,41712
2003,Utrecht,CDA,Centre,27.26,192546
2003,Utrecht,D66,Centre,5.19,36698
2003,Utrecht,CU,Centre,3.09,21834
2003,Utrecht,GL,Left-Wing,6.69,47283
2003,Utrecht,SGP,Right-Wing,2.05,14448
2003,Utrecht,PvdD,Left-Wing,0.45,3205
2003,Utrecht,50PLUS,Centre,NA,NA
2006,Utrecht,VVD,Centre-Right,16.72,122056
2006,Utrecht,PvdA,Centre-Left,18.66,136215
2006,Utrecht,PVV,Right-Wing,5.07,36988
2006,Utrecht,SP,Left-Wing,13.24,96617
2006,Utrecht,CDA,Centre,26.76,195358
2006,Utrecht,D66,Centre,2.71,19746
2006,Utrecht,CU,Centre,5.52,40283
2006,Utrecht,GL,Left-Wing,6.47,47224
2006,Utrecht,SGP,Right-Wing,1.99,14497
2006,Utrecht,PvdD,Left-Wing,1.86,13567
2006,Utrecht,50PLUS,Centre,NA,NA
2010,Utrecht,VVD,Centre-Right,23.22,167652
2010,Utrecht,PvdA,Centre-Left,18.1,130668
2010,Utrecht,PVV,Right-Wing,12.52,90392
2010,Utrecht,SP,Left-Wing,7.11,51312
2010,Utrecht,CDA,Centre,11.99,86569
2010,Utrecht,D66,Centre,9.25,66745
2010,Utrecht,CU,Centre,4.58,33099
2010,Utrecht,GL,Left-Wing,8.85,63903
2010,Utrecht,SGP,Right-Wing,2.21,15925
2010,Utrecht,PvdD,Left-Wing,1.21,8753
2010,Utrecht,50PLUS,Centre,NA,NA
2012,Utrecht,VVD,Centre-Right,29.62,214681
2012,Utrecht,PvdA,Centre-Left,22.51,163201
2012,Utrecht,PVV,Right-Wing,7.9,57301
2012,Utrecht,SP,Left-Wing,6.56,47587
2012,Utrecht,CDA,Centre,7.42,53756
2012,Utrecht,D66,Centre,10.88,78857
2012,Utrecht,CU,Centre,4.44,32162
2012,Utrecht,GL,Left-Wing,3.58,25964
2012,Utrecht,SGP,Right-Wing,2.68,19441
2012,Utrecht,PvdD,Left-Wing,1.93,13998
2012,Utrecht,50PLUS,Centre,1.61,11638
1994,Noord-Holland,VVD,Centre-Right,24.51,342020
1994,Noord-Holland,PvdA,Centre-Left,24.87,347060
1994,Noord-Holland,PVV,Right-Wing,NA,NA
1994,Noord-Holland,SP,Left-Wing,0.86,12028
1994,Noord-Holland,CDA,Centre,16.23,226500
1994,Noord-Holland,D66,Centre,17.16,239447
1994,Noord-Holland,CU,Centre,NA,NA
1994,Noord-Holland,GL,Left-Wing,4.92,68724
1994,Noord-Holland,SGP,Right-Wing,0.29,3986
1994,Noord-Holland,PvdD,Left-Wing,NA,NA
1994,Noord-Holland,50PLUS,Centre,NA,NA
1998,Noord-Holland,VVD,Centre-Right,29.19,391465
1998,Noord-Holland,PvdA,Centre-Left,28.39,380784
1998,Noord-Holland,PVV,Right-Wing,NA,NA
1998,Noord-Holland,SP,Left-Wing,3.08,41300
1998,Noord-Holland,CDA,Centre,12.48,167378
1998,Noord-Holland,D66,Centre,11.53,154610
1998,Noord-Holland,CU,Centre,NA,NA
1998,Noord-Holland,GL,Left-Wing,9.73,130442
1998,Noord-Holland,SGP,Right-Wing,0.26,3445
1998,Noord-Holland,PvdD,Left-Wing,NA,NA
1998,Noord-Holland,50PLUS,Centre,NA,NA
2002,Noord-Holland,VVD,Centre-Right,18.21,271091
2002,Noord-Holland,PvdA,Centre-Left,16.55,246301
2002,Noord-Holland,PVV,Right-Wing,NA,NA
2002,Noord-Holland,SP,Left-Wing,7.34,109213
2002,Noord-Holland,CDA,Centre,20.59,306464
2002,Noord-Holland,D66,Centre,6.48,96393
2002,Noord-Holland,CU,Centre,1.25,18571
2002,Noord-Holland,GL,Left-Wing,8.73,129903
2002,Noord-Holland,SGP,Right-Wing,0.26,3942
2002,Noord-Holland,PvdD,Left-Wing,NA,NA
2002,Noord-Holland,50PLUS,Centre,NA,NA
2003,Noord-Holland,VVD,Centre-Right,21.48,322315
2003,Noord-Holland,PvdA,Centre-Left,28.97,434661
2003,Noord-Holland,PVV,Right-Wing,NA,NA
2003,Noord-Holland,SP,Left-Wing,6.97,104547
2003,Noord-Holland,CDA,Centre,21.14,317221
2003,Noord-Holland,D66,Centre,5.68,85261
2003,Noord-Holland,CU,Centre,1.02,15290
2003,Noord-Holland,GL,Left-Wing,6.92,103864
2003,Noord-Holland,SGP,Right-Wing,0.21,3190
2003,Noord-Holland,PvdD,Left-Wing,0.69,10362
2003,Noord-Holland,50PLUS,Centre,NA,NA
2006,Noord-Holland,VVD,Centre-Right,18.19,278965
2006,Noord-Holland,PvdA,Centre-Left,22.24,341108
2006,Noord-Holland,PVV,Right-Wing,5.54,84949
2006,Noord-Holland,SP,Left-Wing,16.76,257000
2006,Noord-Holland,CDA,Centre,20.98,321802
2006,Noord-Holland,D66,Centre,2.73,41791
2006,Noord-Holland,CU,Centre,2.28,34983
2006,Noord-Holland,GL,Left-Wing,7.01,107484
2006,Noord-Holland,SGP,Right-Wing,0.22,3330
2006,Noord-Holland,PvdD,Left-Wing,2.7,41363
2006,Noord-Holland,50PLUS,Centre,NA,NA
2010,Noord-Holland,VVD,Centre-Right,23.52,349972
2010,Noord-Holland,PvdA,Centre-Left,23.63,351739
2010,Noord-Holland,PVV,Right-Wing,13.55,201629
2010,Noord-Holland,SP,Left-Wing,8.4,125049
2010,Noord-Holland,CDA,Centre,8.96,133339
2010,Noord-Holland,D66,Centre,8.89,132263
2010,Noord-Holland,CU,Centre,1.47,21866
2010,Noord-Holland,GL,Left-Wing,8.57,127605
2010,Noord-Holland,SGP,Right-Wing,0.23,3398
2010,Noord-Holland,PvdD,Left-Wing,1.62,24165
2010,Noord-Holland,50PLUS,Centre,NA,NA
2012,Noord-Holland,VVD,Centre-Right,29.31,437620
2012,Noord-Holland,PvdA,Centre-Left,27.05,403808
2012,Noord-Holland,PVV,Right-Wing,8.7,129822
2012,Noord-Holland,SP,Left-Wing,8.35,124680
2012,Noord-Holland,CDA,Centre,5.59,83458
2012,Noord-Holland,D66,Centre,10.33,154232
2012,Noord-Holland,CU,Centre,1.38,20659
2012,Noord-Holland,GL,Left-Wing,3.12,46519
2012,Noord-Holland,SGP,Right-Wing,0.34,5003
2012,Noord-Holland,PvdD,Left-Wing,2.6,38770
2012,Noord-Holland,50PLUS,Centre,2.16,32276
1994,Zuid-Holland,VVD,Centre-Right,23.26,435542
1994,Zuid-Holland,PvdA,Centre-Left,22.3,417480
1994,Zuid-Holland,PVV,Right-Wing,NA,NA
1994,Zuid-Holland,SP,Left-Wing,1.47,27567
1994,Zuid-Holland,CDA,Centre,18.32,342982
1994,Zuid-Holland,D66,Centre,15.78,295495
1994,Zuid-Holland,CU,Centre,NA,NA
1994,Zuid-Holland,GL,Left-Wing,3.09,57824
1994,Zuid-Holland,SGP,Right-Wing,3,56240
1994,Zuid-Holland,PvdD,Left-Wing,NA,NA
1994,Zuid-Holland,50PLUS,Centre,NA,NA
1998,Zuid-Holland,VVD,Centre-Right,28.03,504368
1998,Zuid-Holland,PvdA,Centre-Left,27.7,498481
1998,Zuid-Holland,PVV,Right-Wing,NA,NA
1998,Zuid-Holland,SP,Left-Wing,3.44,61962
1998,Zuid-Holland,CDA,Centre,14.61,262915
1998,Zuid-Holland,D66,Centre,9.38,168787
1998,Zuid-Holland,CU,Centre,NA,NA
1998,Zuid-Holland,GL,Left-Wing,6.73,121073
1998,Zuid-Holland,SGP,Right-Wing,3.1,55695
1998,Zuid-Holland,PvdD,Left-Wing,NA,NA
1998,Zuid-Holland,50PLUS,Centre,NA,NA
2002,Zuid-Holland,VVD,Centre-Right,15.8,315764
2002,Zuid-Holland,PvdA,Centre-Left,14.3,285859
2002,Zuid-Holland,PVV,Right-Wing,NA,NA
2002,Zuid-Holland,SP,Left-Wing,4.98,99620
2002,Zuid-Holland,CDA,Centre,24,479540
2002,Zuid-Holland,D66,Centre,5.04,100794
2002,Zuid-Holland,CU,Centre,2.67,53313
2002,Zuid-Holland,GL,Left-Wing,5.86,117150
2002,Zuid-Holland,SGP,Right-Wing,2.78,55548
2002,Zuid-Holland,PvdD,Left-Wing,NA,NA
2002,Zuid-Holland,50PLUS,Centre,NA,NA
2003,Zuid-Holland,VVD,Centre-Right,19.78,396277
2003,Zuid-Holland,PvdA,Centre-Left,25.94,519599
2003,Zuid-Holland,PVV,Right-Wing,NA,NA
2003,Zuid-Holland,SP,Left-Wing,5.27,105494
2003,Zuid-Holland,CDA,Centre,24.89,498688
2003,Zuid-Holland,D66,Centre,4.34,87033
2003,Zuid-Holland,CU,Centre,2.22,44552
2003,Zuid-Holland,GL,Left-Wing,4.74,95029
2003,Zuid-Holland,SGP,Right-Wing,2.55,51071
2003,Zuid-Holland,PvdD,Left-Wing,0.64,12724
2003,Zuid-Holland,50PLUS,Centre,NA,NA
2006,Zuid-Holland,VVD,Centre-Right,16.15,329079
2006,Zuid-Holland,PvdA,Centre-Left,20.47,417176
2006,Zuid-Holland,PVV,Right-Wing,7.2,146784
2006,Zuid-Holland,SP,Left-Wing,14.33,291942
2006,Zuid-Holland,CDA,Centre,24.13,491769
2006,Zuid-Holland,D66,Centre,2.33,47566
2006,Zuid-Holland,CU,Centre,4.36,88885
2006,Zuid-Holland,GL,Left-Wing,4.29,87428
2006,Zuid-Holland,SGP,Right-Wing,2.51,51093
2006,Zuid-Holland,PvdD,Left-Wing,2.15,43793
2006,Zuid-Holland,50PLUS,Centre,NA,NA
2010,Zuid-Holland,VVD,Centre-Right,22.45,436436
2010,Zuid-Holland,PvdA,Centre-Left,18.61,361817
2010,Zuid-Holland,PVV,Right-Wing,16.87,328118
2010,Zuid-Holland,SP,Left-Wing,8.18,159076
2010,Zuid-Holland,CDA,Centre,11.19,217532
2010,Zuid-Holland,D66,Centre,7.45,144844
2010,Zuid-Holland,CU,Centre,3.61,70277
2010,Zuid-Holland,GL,Left-Wing,6.38,124051
2010,Zuid-Holland,SGP,Right-Wing,2.74,53247
2010,Zuid-Holland,PvdD,Left-Wing,1.49,28957
2010,Zuid-Holland,50PLUS,Centre,NA,NA
2012,Zuid-Holland,VVD,Centre-Right,28.28,549192
2012,Zuid-Holland,PvdA,Centre-Left,23.46,455530
2012,Zuid-Holland,PVV,Right-Wing,11.58,224956
2012,Zuid-Holland,SP,Left-Wing,7.48,145180
2012,Zuid-Holland,CDA,Centre,6.97,135359
2012,Zuid-Holland,D66,Centre,8.18,158947
2012,Zuid-Holland,CU,Centre,3.47,67451
2012,Zuid-Holland,GL,Left-Wing,2.21,42959
2012,Zuid-Holland,SGP,Right-Wing,3.21,62392
2012,Zuid-Holland,PvdD,Left-Wing,2.23,43307
2012,Zuid-Holland,50PLUS,Centre,1.98,38393
1994,Zeeland,VVD,Centre-Right,18.76,40440
1994,Zeeland,PvdA,Centre-Left,22.4,48282
1994,Zeeland,PVV,Right-Wing,NA,NA
1994,Zeeland,SP,Left-Wing,0.59,1274
1994,Zeeland,CDA,Centre,20.85,44946
1994,Zeeland,D66,Centre,13.52,29146
1994,Zeeland,CU,Centre,NA,NA
1994,Zeeland,GL,Left-Wing,2.36,5081
1994,Zeeland,SGP,Right-Wing,7.87,16963
1994,Zeeland,PvdD,Left-Wing,NA,NA
1994,Zeeland,50PLUS,Centre,NA,NA
1998,Zeeland,VVD,Centre-Right,23.31,47393
1998,Zeeland,PvdA,Centre-Left,27.8,56515
1998,Zeeland,PVV,Right-Wing,NA,NA
1998,Zeeland,SP,Left-Wing,2.77,5640
1998,Zeeland,CDA,Centre,17.21,34982
1998,Zeeland,D66,Centre,6.9,14024
1998,Zeeland,CU,Centre,NA,NA
1998,Zeeland,GL,Left-Wing,5.46,11090
1998,Zeeland,SGP,Right-Wing,8.28,16828
1998,Zeeland,PvdD,Left-Wing,NA,NA
1998,Zeeland,50PLUS,Centre,NA,NA
2002,Zeeland,VVD,Centre-Right,14.02,31471
2002,Zeeland,PvdA,Centre-Left,13.21,29655
2002,Zeeland,PVV,Right-Wing,NA,NA
2002,Zeeland,SP,Left-Wing,4.52,10143
2002,Zeeland,CDA,Centre,29.6,66419
2002,Zeeland,D66,Centre,3.84,8622
2002,Zeeland,CU,Centre,3.67,8237
2002,Zeeland,GL,Left-Wing,5.26,11796
2002,Zeeland,SGP,Right-Wing,8.15,18286
2002,Zeeland,PvdD,Left-Wing,NA,NA
2002,Zeeland,50PLUS,Centre,NA,NA
2003,Zeeland,VVD,Centre-Right,15.66,35528
2003,Zeeland,PvdA,Centre-Left,23.77,53928
2003,Zeeland,PVV,Right-Wing,NA,NA
2003,Zeeland,SP,Left-Wing,5.03,11408
2003,Zeeland,CDA,Centre,31.98,72545
2003,Zeeland,D66,Centre,2.69,6093
2003,Zeeland,CU,Centre,2.93,6643
2003,Zeeland,GL,Left-Wing,3.75,8514
2003,Zeeland,SGP,Right-Wing,7.72,17521
2003,Zeeland,PvdD,Left-Wing,0.56,1274
2003,Zeeland,50PLUS,Centre,NA,NA
2006,Zeeland,VVD,Centre-Right,12.93,29815
2006,Zeeland,PvdA,Centre-Left,18.16,41878
2006,Zeeland,PVV,Right-Wing,5.57,12839
2006,Zeeland,SP,Left-Wing,15.46,35651
2006,Zeeland,CDA,Centre,28.02,64615
2006,Zeeland,D66,Centre,1.08,2490
2006,Zeeland,CU,Centre,5.09,11737
2006,Zeeland,GL,Left-Wing,2.92,6741
2006,Zeeland,SGP,Right-Wing,7.81,18005
2006,Zeeland,PvdD,Left-Wing,1.95,4502
2006,Zeeland,50PLUS,Centre,NA,NA
2010,Zeeland,VVD,Centre-Right,17.51,38738
2010,Zeeland,PvdA,Centre-Left,17.42,38549
2010,Zeeland,PVV,Right-Wing,14.98,33141
2010,Zeeland,SP,Left-Wing,9.22,20393
2010,Zeeland,CDA,Centre,16.31,36085
2010,Zeeland,D66,Centre,4.31,9526
2010,Zeeland,CU,Centre,4.28,9469
2010,Zeeland,GL,Left-Wing,4.83,10698
2010,Zeeland,SGP,Right-Wing,8.58,18990
2010,Zeeland,PvdD,Left-Wing,1.38,3045
2010,Zeeland,50PLUS,Centre,NA,NA
2012,Zeeland,VVD,Centre-Right,24.25,53011
2012,Zeeland,PvdA,Centre-Left,22.65,49520
2012,Zeeland,PVV,Right-Wing,9.97,21785
2012,Zeeland,SP,Left-Wing,9.15,20003
2012,Zeeland,CDA,Centre,9.58,20933
2012,Zeeland,D66,Centre,4.89,10684
2012,Zeeland,CU,Centre,4.2,9190
2012,Zeeland,GL,Left-Wing,1.57,3425
2012,Zeeland,SGP,Right-Wing,9.46,20675
2012,Zeeland,PvdD,Left-Wing,1.76,3847
2012,Zeeland,50PLUS,Centre,1.64,3591
1994,Noord-Brabant,VVD,Centre-Right,18.13,237315
1994,Noord-Brabant,PvdA,Centre-Left,20.98,274599
1994,Noord-Brabant,PVV,Right-Wing,NA,NA
1994,Noord-Brabant,SP,Left-Wing,2.24,29374
1994,Noord-Brabant,CDA,Centre,27.12,355049
1994,Noord-Brabant,D66,Centre,16.27,212945
1994,Noord-Brabant,CU,Centre,NA,NA
1994,Noord-Brabant,GL,Left-Wing,2.83,37054
1994,Noord-Brabant,SGP,Right-Wing,0.49,6353
1994,Noord-Brabant,PvdD,Left-Wing,NA,NA
1994,Noord-Brabant,50PLUS,Centre,NA,NA
1998,Noord-Brabant,VVD,Centre-Right,24.54,302947
1998,Noord-Brabant,PvdA,Centre-Left,28.91,356928
1998,Noord-Brabant,PVV,Right-Wing,NA,NA
1998,Noord-Brabant,SP,Left-Wing,5.27,65077
1998,Noord-Brabant,CDA,Centre,21.52,265677
1998,Noord-Brabant,D66,Centre,8.35,103091
1998,Noord-Brabant,CU,Centre,NA,NA
1998,Noord-Brabant,GL,Left-Wing,6.66,82185
1998,Noord-Brabant,SGP,Right-Wing,0.44,5450
1998,Noord-Brabant,PvdD,Left-Wing,NA,NA
1998,Noord-Brabant,50PLUS,Centre,NA,NA
2002,Noord-Brabant,VVD,Centre-Right,15.9,220213
2002,Noord-Brabant,PvdA,Centre-Left,11.81,163624
2002,Noord-Brabant,PVV,Right-Wing,NA,NA
2002,Noord-Brabant,SP,Left-Wing,7.08,98033
2002,Noord-Brabant,CDA,Centre,32.54,450606
2002,Noord-Brabant,D66,Centre,5.01,69395
2002,Noord-Brabant,CU,Centre,0.7,9642
2002,Noord-Brabant,GL,Left-Wing,6.42,88914
2002,Noord-Brabant,SGP,Right-Wing,0.42,5812
2002,Noord-Brabant,PvdD,Left-Wing,NA,NA
2002,Noord-Brabant,50PLUS,Centre,NA,NA
2003,Noord-Brabant,VVD,Centre-Right,18.25,257040
2003,Noord-Brabant,PvdA,Centre-Left,23.57,332005
2003,Noord-Brabant,PVV,Right-Wing,NA,NA
2003,Noord-Brabant,SP,Left-Wing,8.45,119011
2003,Noord-Brabant,CDA,Centre,33.91,477654
2003,Noord-Brabant,D66,Centre,3.64,51218
2003,Noord-Brabant,CU,Centre,0.58,8143
2003,Noord-Brabant,GL,Left-Wing,4.25,59811
2003,Noord-Brabant,SGP,Right-Wing,0.36,5104
2003,Noord-Brabant,PvdD,Left-Wing,0.42,5962
2003,Noord-Brabant,50PLUS,Centre,NA,NA
2006,Noord-Brabant,VVD,Centre-Right,14.49,207531
2006,Noord-Brabant,PvdA,Centre-Left,17.84,255525
2006,Noord-Brabant,PVV,Right-Wing,6.16,88205
2006,Noord-Brabant,SP,Left-Wing,20.38,291979
2006,Noord-Brabant,CDA,Centre,31.84,456136
2006,Noord-Brabant,D66,Centre,1.57,22522
2006,Noord-Brabant,CU,Centre,1.52,21718
2006,Noord-Brabant,GL,Left-Wing,3.36,48160
2006,Noord-Brabant,SGP,Right-Wing,0.36,5219
2006,Noord-Brabant,PvdD,Left-Wing,1.38,19812
2006,Noord-Brabant,50PLUS,Centre,NA,NA
2010,Noord-Brabant,VVD,Centre-Right,21.01,287483
2010,Noord-Brabant,PvdA,Centre-Left,16.1,220265
2010,Noord-Brabant,PVV,Right-Wing,17.41,238185
2010,Noord-Brabant,SP,Left-Wing,13.43,183720
2010,Noord-Brabant,CDA,Centre,16.22,221959
2010,Noord-Brabant,D66,Centre,6.55,89594
2010,Noord-Brabant,CU,Centre,1.01,13842
2010,Noord-Brabant,GL,Left-Wing,5.53,75610
2010,Noord-Brabant,SGP,Right-Wing,0.38,5178
2010,Noord-Brabant,PvdD,Left-Wing,1.09,14868
2010,Noord-Brabant,50PLUS,Centre,NA,NA
2012,Noord-Brabant,VVD,Centre-Right,28.75,392416
2012,Noord-Brabant,PvdA,Centre-Left,21.46,292908
2012,Noord-Brabant,PVV,Right-Wing,11.03,150583
2012,Noord-Brabant,SP,Left-Wing,13.79,188133
2012,Noord-Brabant,CDA,Centre,9.08,123921
2012,Noord-Brabant,D66,Centre,7.83,106856
2012,Noord-Brabant,CU,Centre,0.91,12451
2012,Noord-Brabant,GL,Left-Wing,1.81,24692
2012,Noord-Brabant,SGP,Right-Wing,0.47,6370
2012,Noord-Brabant,PvdD,Left-Wing,1.55,21202
2012,Noord-Brabant,50PLUS,Centre,2.41,32912
1994,Limburg,VVD,Centre-Right,14.76,92573
1994,Limburg,PvdA,Centre-Left,24.48,153504
1994,Limburg,PVV,Right-Wing,NA,NA
1994,Limburg,SP,Left-Wing,2.21,13847
1994,Limburg,CDA,Centre,28.88,181084
1994,Limburg,D66,Centre,14.51,90986
1994,Limburg,CU,Centre,NA,NA
1994,Limburg,GL,Left-Wing,3.21,20131
1994,Limburg,SGP,Right-Wing,0.13,802
1994,Limburg,PvdD,Left-Wing,NA,NA
1994,Limburg,50PLUS,Centre,NA,NA
1998,Limburg,VVD,Centre-Right,21.28,124812
1998,Limburg,PvdA,Centre-Left,29.88,175277
1998,Limburg,PVV,Right-Wing,NA,NA
1998,Limburg,SP,Left-Wing,4.98,29183
1998,Limburg,CDA,Centre,24.31,142627
1998,Limburg,D66,Centre,7.37,43246
1998,Limburg,CU,Centre,NA,NA
1998,Limburg,GL,Left-Wing,7.46,43757
1998,Limburg,SGP,Right-Wing,0.04,250
1998,Limburg,PvdD,Left-Wing,NA,NA
1998,Limburg,50PLUS,Centre,NA,NA
2002,Limburg,VVD,Centre-Right,12.33,78545
2002,Limburg,PvdA,Centre-Left,12.38,78823
2002,Limburg,PVV,Right-Wing,NA,NA
2002,Limburg,SP,Left-Wing,5.75,36637
2002,Limburg,CDA,Centre,36.67,233538
2002,Limburg,D66,Centre,4.12,26222
2002,Limburg,CU,Centre,0.38,2434
2002,Limburg,GL,Left-Wing,6.77,43108
2002,Limburg,SGP,Right-Wing,0.07,464
2002,Limburg,PvdD,Left-Wing,NA,NA
2002,Limburg,50PLUS,Centre,NA,NA
2003,Limburg,VVD,Centre-Right,14.1,91793
2003,Limburg,PvdA,Centre-Left,26.64,173484
2003,Limburg,PVV,Right-Wing,NA,NA
2003,Limburg,SP,Left-Wing,7.24,47116
2003,Limburg,CDA,Centre,37.52,244319
2003,Limburg,D66,Centre,2.92,19039
2003,Limburg,CU,Centre,0.33,2172
2003,Limburg,GL,Left-Wing,4.46,29060
2003,Limburg,SGP,Right-Wing,0.05,311
2003,Limburg,PvdD,Left-Wing,0.6,3935
2003,Limburg,50PLUS,Centre,NA,NA
2006,Limburg,VVD,Centre-Right,10.8,72746
2006,Limburg,PvdA,Centre-Left,20.29,136665
2006,Limburg,PVV,Right-Wing,11.53,77614
2006,Limburg,SP,Left-Wing,20.56,138476
2006,Limburg,CDA,Centre,28.58,192478
2006,Limburg,D66,Centre,1.12,7556
2006,Limburg,CU,Centre,1.15,7776
2006,Limburg,GL,Left-Wing,3.4,22869
2006,Limburg,SGP,Right-Wing,0.07,438
2006,Limburg,PvdD,Left-Wing,1.51,10200
2006,Limburg,50PLUS,Centre,NA,NA
2010,Limburg,VVD,Centre-Right,15.49,98163
2010,Limburg,PvdA,Centre-Left,15.6,98862
2010,Limburg,PVV,Right-Wing,26.79,169814
2010,Limburg,SP,Left-Wing,12.92,81930
2010,Limburg,CDA,Centre,15.98,101312
2010,Limburg,D66,Centre,4.66,29566
2010,Limburg,CU,Centre,0.63,3975
2010,Limburg,GL,Left-Wing,5.25,33284
2010,Limburg,SGP,Right-Wing,0.06,400
2010,Limburg,PvdD,Left-Wing,1.33,8429
2010,Limburg,50PLUS,Centre,NA,NA
2012,Limburg,VVD,Centre-Right,22.66,139676
2012,Limburg,PvdA,Centre-Left,21.83,134588
2012,Limburg,PVV,Right-Wing,17.72,109210
2012,Limburg,SP,Left-Wing,14.36,88503
2012,Limburg,CDA,Centre,9.67,59595
2012,Limburg,D66,Centre,6.32,38934
2012,Limburg,CU,Centre,0.53,3263
2012,Limburg,GL,Left-Wing,1.83,11305
2012,Limburg,SGP,Right-Wing,0.1,589
2012,Limburg,PvdD,Left-Wing,1.8,11120
2012,Limburg,50PLUS,Centre,2.16,13334
1994,NOP/ZIJP/Unspecified,VVD,Centre-Right,NA,NA
1994,NOP/ZIJP/Unspecified,PvdA,Centre-Left,NA,NA
1994,NOP/ZIJP/Unspecified,PVV,Right-Wing,NA,NA
1994,NOP/ZIJP/Unspecified,SP,Left-Wing,NA,NA
1994,NOP/ZIJP/Unspecified,CDA,Centre,NA,NA
1994,NOP/ZIJP/Unspecified,D66,Centre,NA,NA
1994,NOP/ZIJP/Unspecified,CU,Centre,NA,NA
1994,NOP/ZIJP/Unspecified,GL,Left-Wing,NA,NA
1994,NOP/ZIJP/Unspecified,SGP,Right-Wing,NA,NA
1994,NOP/ZIJP/Unspecified,PvdD,Left-Wing,NA,NA
1994,NOP/ZIJP/Unspecified,50PLUS,Centre,NA,NA
1998,NOP/ZIJP/Unspecified,VVD,Centre-Right,NA,NA
1998,NOP/ZIJP/Unspecified,PvdA,Centre-Left,NA,NA
1998,NOP/ZIJP/Unspecified,PVV,Right-Wing,NA,NA
1998,NOP/ZIJP/Unspecified,SP,Left-Wing,NA,NA
1998,NOP/ZIJP/Unspecified,CDA,Centre,NA,NA
1998,NOP/ZIJP/Unspecified,D66,Centre,NA,NA
1998,NOP/ZIJP/Unspecified,CU,Centre,NA,NA
1998,NOP/ZIJP/Unspecified,GL,Left-Wing,NA,NA
1998,NOP/ZIJP/Unspecified,SGP,Right-Wing,NA,NA
1998,NOP/ZIJP/Unspecified,PvdD,Left-Wing,NA,NA
1998,NOP/ZIJP/Unspecified,50PLUS,Centre,NA,NA
2002,NOP/ZIJP/Unspecified,VVD,Centre-Right,NA,NA
2002,NOP/ZIJP/Unspecified,PvdA,Centre-Left,NA,NA
2002,NOP/ZIJP/Unspecified,PVV,Right-Wing,NA,NA
2002,NOP/ZIJP/Unspecified,SP,Left-Wing,NA,NA
2002,NOP/ZIJP/Unspecified,CDA,Centre,NA,NA
2002,NOP/ZIJP/Unspecified,D66,Centre,NA,NA
2002,NOP/ZIJP/Unspecified,CU,Centre,NA,NA
2002,NOP/ZIJP/Unspecified,GL,Left-Wing,NA,NA
2002,NOP/ZIJP/Unspecified,SGP,Right-Wing,NA,NA
2002,NOP/ZIJP/Unspecified,PvdD,Left-Wing,NA,NA
2002,NOP/ZIJP/Unspecified,50PLUS,Centre,NA,NA
2003,NOP/ZIJP/Unspecified,VVD,Centre-Right,NA,NA
2003,NOP/ZIJP/Unspecified,PvdA,Centre-Left,NA,NA
2003,NOP/ZIJP/Unspecified,PVV,Right-Wing,NA,NA
2003,NOP/ZIJP/Unspecified,SP,Left-Wing,NA,NA
2003,NOP/ZIJP/Unspecified,CDA,Centre,NA,NA
2003,NOP/ZIJP/Unspecified,D66,Centre,NA,NA
2003,NOP/ZIJP/Unspecified,CU,Centre,NA,NA
2003,NOP/ZIJP/Unspecified,GL,Left-Wing,NA,NA
2003,NOP/ZIJP/Unspecified,SGP,Right-Wing,NA,NA
2003,NOP/ZIJP/Unspecified,PvdD,Left-Wing,NA,NA
2003,NOP/ZIJP/Unspecified,50PLUS,Centre,NA,NA
2006,NOP/ZIJP/Unspecified,VVD,Centre-Right,NA,NA
2006,NOP/ZIJP/Unspecified,PvdA,Centre-Left,NA,NA
2006,NOP/ZIJP/Unspecified,PVV,Right-Wing,NA,NA
2006,NOP/ZIJP/Unspecified,SP,Left-Wing,NA,NA
